epoch;epsilon;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
27;0.3146560077844859;0.2450542002916336;0.9107009;0.7037211380509287;0.9132840896106718;0.6250629089079014;0.918093;0.8164794;0.98455966;0.43885255;0.8823712;0.538835751583871;0.8473091209652456;0.3061866760253906;0.49770642201834864;0.90508246;0.61354584;0.9651831;0.35321102
28;0.3166813193383953;0.24589359760284424;0.91587764;0.7298331372192484;0.9182225429526998;0.6562657272269753;0.9290796;0.78313255;0.9773121;0.5234021;0.8749224;0.5391117737700541;0.8457539993545712;0.3020026683807373;0.5068493150684932;0.9090285;0.5533981;0.95046663;0.39220184
29;0.3187066308923047;0.24316789209842682;0.916082;0.7301780627229604;0.9180107915885268;0.6542526421741318;0.92871034;0.7875095;0.9780211;0.52038246;0.877095;0.5278092085221494;0.8419069462647444;0.30328303575515747;0.49430523917995445;0.90784985;0.5684931;0.95477384;0.38073394
30;0.32073194244621417;0.24371200799942017;0.91628635;0.7336258725457047;0.9204663303437048;0.6532460996477101;0.9282779;0.79243827;0.9788089;0.5168596;0.87895715;0.5374564402940625;0.8492289428795353;0.3040370047092438;0.505720823798627;0.90971273;0.5771812;0.95477384;0.39449543
31;0.32275725400012356;0.23712962865829468;0.9173081;0.7354089631369842;0.9211050534952694;0.657775541016608;0.9245562;0.83290267;0.9847172;0.4866633;0.8786468;0.5394971321274098;0.8469962854903614;0.3058053255081177;0.517162471395881;0.90387857;0.5875486;0.9619526;0.34633029
32;0.32478366926605146;0.2397114634513855;0.91574144;0.729096760785426;0.9181580779240262;0.6510809451985923;0.9328296;0.7593361;0.9725855;0.55259186;0.87802607;0.5451400203550121;0.8484270961623319;0.30545833706855774;0.5080091533180778;0.91415715;0.5645646;0.94795406;0.43119267
33;0.3268089808199609;0.23817728459835052;0.9168994;0.7403872538165075;0.919908247947566;0.6618017111222949;0.9247113;0.82693946;0.9840082;0.48817313;0.8820608;0.5454595101755721;0.8431278278680427;0.2992895543575287;0.5160550458715596;0.9055968;0.609375;0.96410626;0.35779816
34;0.3288342923738703;0.2369367927312851;0.9175124;0.7367522671178199;0.9226043808149854;0.6557788944723618;0.9257694;0.82441473;0.98345673;0.49622548;0.87895715;0.528569412634599;0.8361697083056171;0.3200998902320862;0.5045045045045045;0.9066531;0.5833333;0.9587222;0.36926606
35;0.3308596039277797;0.23810864984989166;0.9195559;0.7499304221792922;0.9252889964063721;0.6673376950176145;0.92681843;0.83752096;0.9847172;0.5032713;0.8814401;0.5436170578529148;0.8422090794733825;0.3028732240200043;0.5045871559633027;0.90745765;0.5992647;0.9608758;0.3738532
36;0.33288491548168914;0.23635712265968323;0.9193515;0.7521903631929806;0.925949188077633;0.6688475088072471;0.9250369;0.8518843;0.98668665;0.48917967;0.88268155;0.5398791718445038;0.8378738383924866;0.3051406145095825;0.5091743119266054;0.9064821;0.61153847;0.9637473;0.3646789
37;0.3349102270355986;0.23371174931526184;0.91941965;0.7570207404123513;0.9287238802650504;0.6738802214393558;0.92322963;0.87153417;0.98905;0.4745848;0.8820608;0.5403973710545261;0.8412327034912438;0.2993573546409607;0.5;0.90477794;0.612;0.9651831;0.35091743
38;0.336935538589508;0.23538367450237274;0.9128125;0.7443329208210665;0.9247954781548791;0.665324609964771;0.9133111;0.9049255;0.9934615;0.3975843;0.88547486;0.5304253880026889;0.8352558994184552;0.3044710159301758;0.4817351598173516;0.8976637;0.6830601;0.97918165;0.28669724
39;0.33896085014341737;0.23000040650367737;0.9175124;0.7503300899497178;0.9269976368373314;0.665324609964771;0.92257303;0.85466176;0.9874744;0.47055864;0.88392305;0.5319929872168119;0.836361937472421;0.3099413812160492;0.5090497737556561;0.9055145;0.625;0.96661884;0.35550457
40;0.3409872654093453;0.23045340180397034;0.91962403;0.7584413286961001;0.9287816252307718;0.6678409662808253;0.9270772;0.83597004;0.98448086;0.50528437;0.88392305;0.5382261858086171;0.8355185165671082;0.31122979521751404;0.5;0.90743244;0.6183206;0.96410626;0.37155962
41;0.3430125769632547;0.23101136088371277;0.91941965;0.7519545016266586;0.9274765057480524;0.6628140703517588;0.9340825;0.7827004;0.9756578;0.5601409;0.8761639;0.541288269889277;0.8367254028991616;0.31396880745887756;0.4919908466819222;0.9122625;0.55657494;0.94795406;0.4174312
42;0.3450378885171641;0.23181340098381042;0.9222805;0.7644038812683362;0.9321522224695276;0.6859587317564168;0.9311786;0.8294392;0.98274773;0.5359839;0.8755431;0.529836549518773;0.8347133768449061;0.3197825253009796;0.48853211009174313;0.9057503;0.56183743;0.9554917;0.3646789
43;0.34706320007107355;0.23141302168369293;0.9201008;0.7613360515385532;0.9300448781266034;0.6757164404223228;0.92597795;0.851468;0.9864503;0.49622548;0.87802607;0.5237679835313143;0.831170103466217;0.30644121766090393;0.5;0.90463305;0.58113205;0.96015793;0.35321102
44;0.349088511624983;0.2319996953010559;0.9209863;0.7714916806949188;0.9340479938570299;0.6836016096579477;0.92604905;0.86113536;0.9874744;0.49622548;0.8820608;0.527260343826965;0.8372909765077023;0.3147670328617096;0.49099099099099097;0.90532345;0.6102362;0.9644652;0.35550457
45;0.3511138231788924;0.22878576815128326;0.92439204;0.7765719898643001;0.9341958352419766;0.685771744595274;0.930696;0.85563666;0.98597765;0.5309512;0.88112974;0.534607730775395;0.836040457859415;0.3042408525943756;0.4966139954853273;0.9079796;0.5956679;0.959799;0.37844038
46;0.3531391347328018;0.22815118730068207;0.9224848;0.7703454043470361;0.9318782064512761;0.6839456467035733;0.92927194;0.84766585;0.9853474;0.52088577;0.8798883;0.5303603106546015;0.8283233006447703;0.31727272272109985;0.4988610478359909;0.90868825;0.58536583;0.9572864;0.3853211
