epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3315744996070862;0.88059396;0.5050817093917084;0.8350292340579293;0.506265664160401;0.89438397;0.64444447;0.9773121;0.2627076;0.87895715;0.489484603956882;0.8288090188820907;0.30347928404808044;0.4851258581235698;0.8956407;0.6185567;0.9734386;0.27522936
1;0.31047284603118896;0.8861113;0.5319366339761165;0.8452094752649748;0.5136341100644521;0.90397304;0.6515881;0.9714826;0.34071463;0.88112974;0.5079255289982494;0.8335188392815981;0.3023053705692291;0.5011389521640092;0.9019739;0.6137339;0.9676956;0.32798165
2;0.3027634918689728;0.8857026;0.5619574823898208;0.8574236951719181;0.5440362355309512;0.89359725;0.7248908;0.98511106;0.2506291;0.88175046;0.5314387408704969;0.8429607078643545;0.29397109150886536;0.4966139954853273;0.89465046;0.6571429;0.97846377;0.26376146
3;0.2929290235042572;0.8884953;0.5604281726930233;0.8570761945714735;0.5339708102667338;0.90731597;0.65794224;0.9701434;0.36688474;0.8795779;0.5191332737353046;0.8428092296344105;0.2959463894367218;0.5034324942791762;0.9042481;0.59375;0.9626705;0.34862384
4;0.2903682291507721;0.8908794;0.5764762836510644;0.8649839840481961;0.5415198792148969;0.9034628;0.7058824;0.9783362;0.33215904;0.8808194;0.5227263701143279;0.8425696635207491;0.2952830195426941;0.49770642201834864;0.90033334;0.6171171;0.9694903;0.3142202
5;0.2857973873615265;0.8930591;0.6012685757202805;0.8727340601890863;0.5626572722697534;0.902635;0.7404844;0.98227507;0.32310015;0.88268155;0.533288205215314;0.8460832998544491;0.29302743077278137;0.5068493150684932;0.89920425;0.6407767;0.9734386;0.3027523
6;0.28331029415130615;0.8932634;0.6054291129510103;0.8741051116168755;0.5597989949748744;0.90132004;0.7567237;0.9843233;0.3115249;0.8798883;0.5307508337427258;0.8456033443758768;0.2946726083755493;0.5022935779816514;0.895483;0.6296296;0.9748744;0.27293578
7;0.2806978225708008;0.897759;0.6196938704930608;0.8805841047000873;0.5729376257545271;0.9147706;0.70454544;0.97234917;0.42123803;0.8808194;0.5292823777328577;0.8503337460566265;0.2919151186943054;0.5045871559633027;0.9093388;0.5902778;0.95764536;0.38990825
8;0.2792850434780121;0.89394456;0.6098146446652896;0.8796646256441248;0.5571212883744339;0.9144771;0.67255217;0.96785885;0.4217413;0.8820608;0.5388207316780731;0.8509166079414108;0.2908126711845398;0.49770642201834864;0.9114227;0.59395975;0.95656854;0.4059633
9;0.27711713314056396;0.89557934;0.6207415549833644;0.8836044855607453;0.5754527162977867;0.9048241;0.75334823;0.9825902;0.3397081;0.88640594;0.5396419463161641;0.8493738350994816;0.2915691137313843;0.517162471395881;0.9044118;0.65217394;0.971285;0.3440367
